address,lat,lng,northeast_Lat,northeast_Lng,southwest_Lat,southwest_Lng
Los Angeles,34.0522342,-118.2436849,34.3373061,-118.1552891,33.7036519,-118.6681759
Long Beach,33.7700504,-118.1937395,33.8854591,-118.063253,33.714957,-118.248966
Glendale,34.1425078,-118.255075,34.2672319,-118.1820051,34.118761,-118.3078491
Lancaster,40.0378755,-76.3055144,40.0730409,-76.25408399999999,40.00691,-76.3466139
Palmdale,34.5794343,-118.1164613,34.661043,-117.9157469,34.509813,-118.2871071
Santa Clarita,34.3916641,-118.542586,34.4775239,-118.3760711,34.3404979,-118.6131919
Pomona,34.055103,-117.7499909,34.1129359,-117.711067,34.018512,-117.828817
Torrance,33.8358492,-118.3406288,33.8870609,-118.308127,33.780217,-118.3940909
Pasadena,34.1477849,-118.1445155,34.251905,-118.0654789,34.1170368,-118.1981391
Inglewood,33.9616801,-118.3531311,33.9829701,-118.313391,33.925177,-118.3788499
Compton,33.8958492,-118.2200712,33.923418,-118.1799621,33.863086,-118.2636591
Downey,33.9401088,-118.1331593,33.972899,-118.0902619,33.9024549,-118.170584
West Covina,34.0686208,-117.9389526,34.0924931,-117.8582611,34.001855,-117.967138
Norwalk,41.11774399999999,-73.4081575,41.1715961,-73.38056209999999,41.020449,-73.474565
Burbank,34.1808392,-118.3089661,34.221654,-118.2801091,34.1423669,-118.3703131
South Gate,33.954737,-118.2120161,33.96628159999999,-118.156119,33.9099639,-118.231505
El Monte,34.0686206,-118.0275667,34.100946,-117.997465,34.0413931,-118.072927
Whittier,33.9791793,-118.032844,34.03071600000001,-117.965576,33.9281669,-118.072246
Alhambra,34.095287,-118.1270146,34.1111459,-118.108181,34.0599208,-118.1648349
